MSN,YYYYMM,Value,Column_Order,Description,Unit
CLEXBUS,199705,.188876,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199706,.177222,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199707,.178691,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199708,.224466,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199709,.18367,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199710,.195455,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199711,.173494,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199712,.171193,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199713,2.193135,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199801,.187161,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199802,.142029,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199803,.169841,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199804,.175487,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199805,.198743,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199806,.18184,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199807,.173216,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199808,.179806,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199809,.180253,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199810,.180267,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199811,.154721,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199812,.168313,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199813,2.091677,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199901,.11715,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199902,.102279,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199903,.118611,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199904,.122531,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199905,.113331,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199906,.140978,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199907,.134968,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199908,.151271,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199909,.133015,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199910,.15561,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199911,.130028,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199912,.105335,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,199913,1.525108,"1","Coal Exports","Quadrillion Btu"
