MSN,YYYYMM,Value,Column_Order,Description,Unit
CLIMBUS,198309,.002429,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198310,.00474,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198311,.000794,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198312,.002542,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198313,.031765,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198401,.002023,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198402,.003502,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198403,.001366,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198404,.003694,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198405,.001794,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198406,.001232,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198407,.004825,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198408,.003666,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198409,.002381,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198410,.002593,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198411,.001711,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198412,.003353,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198413,.032139,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198501,.003143,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198502,.002535,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198503,.002565,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198504,.005078,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198505,.003967,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198506,.003446,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198507,.004429,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198508,.006592,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198509,.004562,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198510,.00321,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198511,.002785,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198512,.006498,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198513,.04881,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198601,.003852,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198602,.005225,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198603,.003054,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198604,.005351,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198605,.004296,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198606,.004743,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198607,.004452,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198608,.004277,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198609,.004693,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198610,.002744,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198611,.007972,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198612,.004635,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198613,.055293,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198701,.003355,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198702,.002136,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198703,.002773,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198704,.005737,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198705,.00338,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198706,.002957,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198707,.002999,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198708,.004768,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198709,.004107,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198710,.00215,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198711,.006583,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198712,.002735,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198713,.043678,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198801,.003979,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198802,.004055,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198803,.005522,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198804,.002663,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198805,.005589,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198806,.006432,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198807,.005087,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198808,.00513,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198809,.000718,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198810,.005719,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198811,.005181,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198812,.003276,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198813,.053351,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198901,.001649,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198902,.003286,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198903,.00835,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198904,.003944,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198905,.0078,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198906,.005438,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198907,.009373,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198908,.006174,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198909,.007567,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198910,.004,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198911,.006122,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198912,.007575,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,198913,.071278,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199001,.004368,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199002,.006701,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199003,.007297,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199004,.00455,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199005,.003602,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199006,.008707,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199007,.004999,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199008,.002996,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199009,.004859,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199010,.007105,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199011,.00561,"1","Coal Imports","Quadrillion Btu"
